ticker,strategy,timeframe,entry_time,exit_time,TimeInDays,AvgTimeInMarketHours,StdTimeInMarket,NoOfTrades,RatioNegative,TotalProfit%,AvgProfitPerTrade%,ProfitPositive%,ProfitNegative%,ratio,MinCumulative%,MaxCumulative%,runup%,drawdown%,MinPrice,MaxPrice,var,TradesPerDay,AdjustedProfit%,APPD
BINANCE:FETUSDT.P,Strategy v2.1,1s,2023-07-06 00:21:00,2023-07-26 03:09:46,20.117199074074072,0.06298991692193447,0.08562871063294729,399,40%,-0.11539999999999831,-0.00028922305764410603,0.24810000000000199,-0.3634999999999997,0.7,-0.00%,0.02%,0.7,1.2,0.2084,0.2442,0.2%,19.8,-1.153999999999983,-0.05736385049185073
BINANCE:FETUSDT.P,Strategy v9.1,1m,2023-07-10 00:46:00,2023-07-19 16:10:00,9.641666666666667,0.30867063492063485,0.22124231543442846,14,43%,0.02969999999999992,0.0021214285714285658,0.04980000000000002,-0.02010000000000009,2.5,-0.00%,0.05%,3.8,2.7,0.2109,0.2394,0.1%,1.5,0.2969999999999992,0.030803802938634314
BINANCE:FETUSDT.P,[CP] ChannelBreakOutStrategy,1m,2023-07-10 00:00:00,2023-07-31 15:11:00,21.632638888888888,0.002801842041480566,0.002119308832778074,3209,93%,-2.8094000000000414,-0.000875475225927093,0.2172000000000013,-3.026600000000039,0.1,-0.00%,0.00%,0.3,0.2,0.2051,0.2537,0.2%,148.3,-28.094000000000413,-1.2986857564765368
BINANCE:FETUSDT.P,[CP] Keltner Channels Strategy,1m,2023-07-10 00:23:00,2023-07-31 14:44:00,21.597916666666666,0.02276900584795323,0.017594354469959904,380,87%,-0.3848999999999999,-0.001012894736842105,0.12980000000000017,-0.514700000000001,0.3,-0.00%,-0.38%,0.8,0.4,0.2072,0.2501,0.2%,17.6,-3.8489999999999993,-0.17821163306646085
BINANCE:FETUSDT.P,[CP] Momentum Strategy,1m,2023-07-10 00:15:00,2023-07-31 14:57:00,21.6125,0.005120222353792511,0.004214545341419168,1689,89%,-1.5094000000000192,-0.0008936648904677438,0.2034000000000011,-1.7128000000000245,0.1,-0.00%,-1.51%,0.4,0.2,0.2062,0.2525,0.2%,78.1,-15.094000000000191,-0.6983921341816167
BINANCE:FILUSDT.P,Strategy v2.1,1s,2023-07-06 00:11:00,2023-07-26 08:46:18,20.357847222222222,0.06605631543397505,0.08684835321411045,329,23%,2.0908000000000246,0.006355015197568464,5.74280000000002,-3.6519999999999873,1.6,-0.01%,2.11%,0.6,1.1,4.1789999999999985,4.706,0.1%,16.2,20.908000000000246,1.0270241136880862
BINANCE:FLMUSDT.P,Strategy v10,1m,2023-07-24 09:00:00,2023-07-25 02:38:00,0.7347222222222223,0.2938888888888889,,1,0%,0.0020999999999999994,0.0020999999999999994,0.0020999999999999994,0.0,100.0,0.00%,0.00%,7.3,0.1,0.0672,0.0672,0.0%,0.0,0.020999999999999994,0.028582230623818514
BINANCE:FLMUSDT.P,Strategy v19,1m,2023-07-11 12:02:00,2023-07-11 13:03:00,0.04236111111111111,0.016944444444444446,,1,0%,0.001700000000000002,0.001700000000000002,0.001700000000000002,0.0,100.0,0.00%,0.00%,5.2,0.9,0.0692,0.0692,0.0%,0.0,0.017000000000000022,0.4013114754098366
BINANCE:FLMUSDT.P,Strategy v2.1,1m,2023-07-10 06:03:00,2023-07-31 14:28:00,21.350694444444443,0.18392716049382732,0.1502133150432724,225,75%,-0.14649999999999985,-0.0006511111111111104,0.02379999999999999,-0.1702999999999999,0.1,-0.00%,0.00%,1.3,2.3,0.0629,0.0718,0.1%,10.5,-1.4649999999999985,-0.06861603512766297
BINANCE:FLMUSDT.P,Strategy v2.1,1s,2023-07-05 01:11:00,2023-07-26 11:37:35,21.435127314814814,0.07981462856534707,0.09531433639377893,348,91%,-0.23559999999999978,-0.0006770114942528729,0.006200000000000028,-0.24179999999999985,0.0,-0.00%,-0.24%,0.7,1.4,0.0622,0.0743,0.2%,16.2,-2.3559999999999977,-0.10991303972202938
